Designator,Val,Footprint,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,127.550000,-81.800000,0.000000,top
C2,10uF,CP_EIA-3216-10_Kemet-I,121.750000,-84.800000,90.000000,top
C3,22uF,C_1206_3216Metric,135.550000,-88.400000,180.000000,top
C4,33nF,C_0402_1005Metric,128.350000,-88.400000,0.000000,top
C5,22nF,C_0402_1005Metric,124.350000,-88.400000,180.000000,top
C6,8.2nF,C_0402_1005Metric,121.670000,-88.000000,180.000000,top
D1,1N5819WS,D_SOD-323,131.550000,-84.000000,-90.00000,top
R1,7.5k,R_0402_1005Metric,131.550000,-86.400000,180.000000,top
R2,100R,R_0402_1005Metric,126.350000,-88.400000,180.000000,top
R3,2.4k,R_0402_1005Metric,131.150000,-87.960000,-90.000000,top
R4,1.5k,R_0402_1005Metric,132.350000,-87.960000,-90.000000,top
U1,TPS54331,SOIC-8_3.9x4.9mm_P1.27mm,126.740000,-85.080000,-90.000000,top
